ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,MISSION_DATE,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE
"
2",433,174-51,98th Bomb Wing,6/1/51,B-29,1,,,,Changdo-ri,Marshalling yard,,CT 8462,52SCH8462,38.49881N, 127.66974E,,,12,1000 GP,Visual,12000,,,19750,,Bombs fell on the east end of the tracks,0.01,Non-delay,12000,EXETER
"
3",433,174-51,307th Bomb Wing,6/1/51,B-29,,1,,,,Jettisoned,,,,,,,,2,2000 GP,Visual,,,,,,,0.01,Non-delay,4000,EXETER
"
4",433,174-51,307th Bomb Wing,6/1/51,B-29,1,1,,,,Village,,YD 1594,51SYD1594,39.66879N, 125.50653E,,,4,2000 GP,Visual,,,,21000 - 22500,,1 aircraft due to a bomb rack malfunction dropped half it's bomb load on an unidentified village at YD 1594,0.01,Non-delay,8000,EXETER
"
5",433,174-51,98th Bomb Wing,6/1/51,B-29,1,,,,Anju,Supply center,,YD 2987,51SYD2987,39.60215N, 125.66717E,,,8,2000 GP,Visual,16000,,,21500,,,0.01,Non-delay,16000,EXETER
"
6",433,174-51,98th Bomb Wing,6/1/51,B-29,1,,,,Hamhung,Railroad bridge,,CV 7719,52SCK7719,39.91217N, 127.56091E,,,8,2000 GP,Visual,16000,,,16000,,,0.01,Non-delay,16000,EXETER
"
7",433,174-51,307th Bomb Wing,6/1/51,B-29,1,1,,,Nam-chon-on-jom,Marshalling yards,,BT 7436,52SBH7436,38.24362N, 126.41753E,,,8,2000 GP,Visual,,,Interdiction,14400,,Poor results. Bombs fell in open area.,0.01,Non-delay,16000,EXETER
"
8",433,174-51,98th Bomb Wing,6/1/51,B-29,3,,,,Sariwon,Marshalling yard,,YU 3966,51TYU3966,52.89048N, 126.55293E,,,24,2000 GP,Visual,48000,,,18000 - 24600,,Excellent results. Bombs fell in the center and west edge of the yards.,0.01,Non-delay,48000,EXETER
"
9",433,174-51,98th Bomb Wing,6/1/51,B-29,7,,,1,Pyorha-ri,Railroad bridge,,BA 1419,52SBL1419,40.77223N, 125.61128E,,,48,2000 GP,Visual,96000,,,15060 - 16000,,Excellent results,0.01,Non-delay,96000,EXETER
"
10",433,174-51,307th Bomb Wing,6/1/51,B-29,13,,1,,,Railroad Bridge,,YD 1993,51SYD1993,39.65877N, 125.55279E,,,90,2000 GP,Visual,,,Interdiction,21000 - 22500,,Excellent results. Estimated 3 spans down. 1 aircraft due to a bomb rack malfunction dropped half it's bomb load on an unidentified village at YD 1594,0.01,Non-delay,180000,EXETER
"
11",433,174-51,98th Bomb Wing,6/1/51,B-29,4,,,,,Troop Concentrations,,CT 8725,52SCH8725,38.16582N, 127.71006E,,,10,500 GP,Visual,,,,17000 - 18000,,"""Mostly unreported results, however, there were 17 flashes, one secondary fire, and one explosion observed.""",VT,Non-delay,5000,EXETER
"
12",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 1831,52SCH1831,38.20858N, 126.92125E,,,10,500 GP,Visual,,,,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
13",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 9829,52SCH9829,38.20318N, 127.83503E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
14",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 2336,52SCH2336,38.25461N, 126.97708E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
15",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 2930,52SCH2930,38.20173N, 127.04706E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
16",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 8924,52SCH8924,38.15706N, 127.73304E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
17",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 7627,52SCH7627,38.18240N, 127.58418E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
18",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 7640,52SCH7640,38.29953N, 127.58190E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
19",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 7635,52SCH7635,38.25448N, 127.58278E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
20",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,DT 1231,52SDH1231,38.22268N, 127.99466E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
21",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,DT 3024,52SDH3024,38.16118N, 128.20096E,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000,EXETER
"
22",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,DR 3158,52SDF3158,36.66510N, 128.22789E,,,20,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,10000,EXETER
"
23",433,174-51,98th Bomb Wing,6/1/51,B-29,4,1,,,,Troop Concentrations,,CT 7539,52SCH7539,38.29038N, 127.57065E,,,30,500 GP,Visual,,,,17000 - 18000,,,VT,Non-delay,15000,EXETER
"
24",433,174-51,91st Strategic Recon Sq,6/1/51,,1,,,,BCA-31-5-1,Railroad bridge,,YD 1993,51SYD1993,39.65877N, 125.55279E,,,,,,,,Recon,,,,,,,EXETER
"
25",433,174-51,91st Strategic Recon Sq,6/1/51,,,1,,,BCA-31-5-2,Railroad bridge,,BV 6744,52TBK6744,40.11406N, 126.26600E,,,,,,,,Recon,,,,,,,EXETER
"
26",433,174-51,91st Strategic Recon Sq,6/1/51,,,1,,,BCA-35-5-2,Railroad bridge,,XD 9195,51SXD9195,39.68349N, 125.22724E,,,,,,,,Recon,,,,,,,EXETER
