WWI_ID,MSNDATE,OPERATION,COUNTRY,SERVICE,UNIT,MDS,MISSIONNUM,TAKEOFFTIME,NUMBEROFPLANESATTACKING,CALLSIGN,WEAPONSEXPENDED,WEAPONTYPE,WEAPONWEIGHT,BOMBLOAD,LATITUDE,LONGITUDE,TGTLOCATION,TGTCOUNTRY,TGTTYPE,TAKEOFFBASE,TAKEOFFLATITUDE,TAKEOFFLONGITUDE,BDA,ENEMYACTION,ROUTEDETAILS,ISRCOLLECTED,FRIENDLYCASUALTIES,WEATHER,ALTITUDE
1,10/16/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1792,224,49.233333,7,SAARBRUCKEN,GERMANY,BURBACH WORKS-BLAST FUM,OCHEY,48.58129185,5.95351696,,,,,0,,10000
2,10/20/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.266667,6.783333,WADGASSEN & BOUS,GERMANY,FACTORY & RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,1,,10000
3,10/23/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3335,277.9166667,49.233333,7,"SAARBRUCKEN, ETC",GERMANY,"RAILWAY JTN, STN.TRAINS",OCHEY,48.58129185,5.95351696,,,,,2,,10000
4,10/23/1917,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,9408,1344,49.233333,7,"SAARBRUCKEN, ETC",GERMANY,BURBACH WORKS,VILLESENEUX,48.78108005,4.1631317,,,,,2,,10000
5,10/28/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,915,305,49.233333,7,SAARBRUCKEN & OTHERS,GERMANY,"RAILWAYS, BRDG,TRAINS",OCHEY,48.58129185,5.95351696,,,,,0,,10000
6,10/29/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2712,226,49.2037161,7.6047455,PIRMASENS,GERMANY,BOOT FACTORY,OCHEY,48.58129185,5.95351696,,,,,0,,10000
7,10/29/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,3075,307.5,,,SAAR VALLEY,GERMANY,"FACT, FUM, STEELWRKS, TM",OCHEY,48.58129185,5.95351696,,,,,0,,9999
8,10/31/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,6,,,,1362,227,49.4446997,7.7690041,KAISERSLAUTERN,GERMANY,MUNITIONS FACTORY,OCHEY,48.58129185,5.95351696,,,,,0,,10000
9,12/4/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2440,221.8181818,49.233333,7,SAARBRUCKEN & ZWEIBRUCKEN,GERMANY,"FACTORY, TOWN, RAIL STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
10,12/5/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2406,218.7272727,49.233333,7,SAARBRUCKEN,GERMANY,BURBACH WORKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
